OBJECTID,AREA_CODE,AREA_NAME,NID,NID_1,NBRNAME,TotPop,per19under,per65over,perlivealone,perc65uplivealone,medincpretax,perfamlowincpretax,perrenters,percunemplymnt,pernotinlbrforce,perlessthanHS,percunivgrad,percNoEngFr,percRctImmg5yr,percImmg,percMinority,malePop20up,femalePop20up,totalPop20up,malePop35up,femalePop35up,totalPop35up,maleNbrHBP20up,femaleNbrHBP20up,totalNbrHBP20up,maleNbrAsthma20up,femaleNbrAsthma20up,totalNbrAsthma20up,maleNbrDbts20up,femaleNbrDbts20up,totalNbrDbts20up,maleNbrMH20up,femaleNbrMH20up,totalNbrMH20up,maleNbrCOPD35up,femaleNbrCOPD35up,totalNbrCOPD35up,Shape_Length,Shape_Area,prevCOPD,prevHBP,prevAsthma,prevDbts,pervMH
1,97,Yonge-St.Clair (97),97,97,Yonge-St. Clair,11235,10.6,19,30.8,41.2,70725,9.3,62.4,5.6,30.3,2.1,66.2,0.4,5.6,28.9,12.8,3873,4815,8688,2775,3478,6253,866,1018,1884,428,601,1029,346,366,712,271,409,680,229,306,535,5873.270582,1161314.726,0.085558932,0.301295378,0.164561011,0.113865345,0.108747801
2,27,York University Heights (27),27,27,York University Heights,26140,23.2,12.2,9.2,18,43051,25.4,56,10,37.2,19.2,26.7,6.4,15.9,60.5,63.3,11105,11981,23086,7087,7703,14790,2697,3211,5908,1273,1508,2781,1632,1739,3371,802,1050,1852,770,723,1493,18504.77733,13246655.96,0.100946586,0.399459094,0.188032454,0.227924273,0.125219743
3,38,Lansing-Westgate (38),38,38,Lansing-Westgate,14436,21.3,13.6,12.1,29,63355,16,40.5,7,31.8,3.1,59.4,1.6,13.1,40.8,30.2,4182,4903,9085,3145,3662,6807,1067,1130,2197,495,589,1084,499,469,968,285,416,701,247,259,506,11112.10962,5346185.894,0.074335243,0.322755986,0.159247833,0.142206552,0.102982224
4,31,Yorkdale-Glen Park (31),31,31,Yorkdale-Glen Park,14830,20.1,24.2,10.5,25.4,49457,18.6,41.7,6.4,42.4,21.8,24.7,8,7.2,57.3,40.4,5534,6675,12209,4163,5185,9348,1850,2478,4328,704,958,1662,1103,1281,2384,405,656,1061,614,520,1134,10079.42692,6038325.961,0.121309371,0.462986735,0.177792041,0.255027813,0.113500214
5,16,Stonegate-Queensway (16),16,16,Stonegate-Queensway,23809,20.6,17.3,12.4,27.1,66154,12.3,35.5,6.6,34.3,7.8,42.1,2.7,7.4,38.8,11.6,9790,10654,20444,7632,8267,15899,2595,2830,5425,1083,1442,2525,1151,1122,2273,658,1076,1734,760,707,1467,11853.18988,7946201.728,0.092269954,0.341216429,0.15881502,0.142964966,0.109063463
6,118,Tam O'Shanter-Sullivan (118),118,118,Tam O'Shanter-Sullivan,27235,22.2,19.4,7.3,24.9,49212,26.9,44,9.4,42.3,11,37.2,9.2,19.7,64.8,69.6,10490,12487,22977,7901,9562,17463,3204,4092,7296,1023,1370,2393,1830,2039,3869,620,1033,1653,831,824,1655,10750.46812,5422344.61,0.094771803,0.417797629,0.137032583,0.221554143,0.094657275
7,63,The Beaches (63),63,63,The Beaches,20416,22.4,9.1,16.1,35.5,79666,7.9,36.3,4.3,23.9,4.3,53.4,0.3,2.9,19.2,9.4,7308,8192,15500,5572,6125,11697,1411,1406,2817,823,1165,1988,543,499,1042,611,890,1501,503,534,1037,11275.18074,3595829.055,0.088655211,0.240830982,0.169958109,0.089082671,0.128323502
8,3,Thistletown-Beaumond Heights (3),3,3,Thistletown-Beaumond Heights,9928,25.3,16.7,5.4,17.5,55032,17.9,34.4,6.3,38,16.7,20.7,5,9.7,55.9,53.8,4124,4453,8577,3038,3228,6266,1267,1449,2716,489,615,1104,760,754,1514,275,410,685,303,264,567,10828.44448,3339481.037,0.09048835,0.433450367,0.176188956,0.241621449,0.10932014
9,55,Thorncliffe Park (55),55,55,Thorncliffe Park,17949,30.4,11.2,10.7,36.7,39580,42.7,91,8.4,42.1,12.1,41.4,6.7,31.4,68.1,74.9,4879,5349,10228,3442,3459,6901,1207,1396,2603,375,582,957,825,836,1661,402,543,945,256,251,507,7502.70943,3126553.811,0.073467613,0.377191711,0.138675554,0.240689755,0.136936676
10,59,Danforth East York (59),59,59,Danforth Village-East York,16500,19.5,14.7,12.5,25.7,57810,14.5,28.2,6.6,32.7,16,34.4,5.3,4.9,39.5,27.6,6628,7418,14046,4974,5599,10573,1720,1993,3713,864,1157,2021,889,882,1771,480,715,1195,668,625,1293,7623.857817,2188597.61,0.122292632,0.351177528,0.191147262,0.167502128,0.11302374
11,106,Humewood-Cedarvale (106),106,106,Humewood-Cedarvale,13925,20.3,10.7,17.9,33.3,52591,15.4,63,6.6,25.3,5.3,53,1.3,7.8,35.2,28.5,5248,6477,11725,3554,4361,7915,1102,1390,2492,638,874,1512,529,656,1185,388,566,954,343,341,684,6036.268116,1871263.396,0.086418193,0.314845231,0.19102969,0.14971573,0.120530638
12,14,Islington-City Centre West (14),14,14,Islington-City Centre West,32823,21,18.3,11.8,27.3,61514,16,40.4,6.3,35.9,8.1,42.4,3.3,11,47.5,31.2,15802,18022,33824,11104,13030,24134,4212,5086,9298,1654,2345,3999,2158,2284,4442,1103,1746,2849,1071,1252,2323,20311.92925,16239688.7,0.096254247,0.3852656,0.165699843,0.184055689,0.118049225
13,66,Danforth (66),66,66,Danforth Village-Toronto,9576,21.6,13.9,13.3,31.6,56622,12.5,35.5,7.7,31.4,15.7,39.4,7,4.9,36.2,26.7,4050,4057,8107,2991,2918,5909,1012,962,1974,499,597,1096,530,492,1022,314,391,705,412,302,714,6233.172749,1119664.706,0.120832628,0.334066678,0.185479777,0.172956507,0.119309528
14,28,Rustic (28),28,28,Rustic,10042,29,18.6,8,22.3,36944,31.8,60.1,9,43.9,22.4,14,4.8,7.5,54.7,55.3,3356,4263,7619,2442,3122,5564,1113,1501,2614,431,683,1114,682,812,1494,266,449,715,308,308,616,5888.971791,2096348.756,0.110711718,0.469805895,0.200215672,0.268511862,0.128504673
15,139,Scarborough Village (139),139,139,Scarborough Village,15590,29.5,13.5,8.8,29,42417,34.2,55.6,12.5,40.4,17.1,22.7,5.5,14.8,55.1,65.6,5677,6610,12287,4086,4734,8820,1704,2041,3745,642,1022,1664,1090,1185,2275,465,700,1165,443,417,860,7922.764442,3151015.097,0.097505669,0.424603175,0.188662132,0.257936508,0.132086168
16,85,South Parkdale (85),85,85,South Parkdale,21013,18.5,10.7,23.4,47,28560,40,91.3,9.5,35.5,15.8,29.6,4.3,18.8,52.4,55.5,9496,8937,18433,6510,5741,12251,1924,2068,3992,1037,1281,2318,1307,1150,2457,811,896,1707,798,612,1410,10802.83216,2286974.065,0.115092645,0.325850951,0.189209044,0.200555057,0.139335564
17,70,South Riverdale (70),70,70,South Riverdale,24424,19.5,10.8,13.4,26.8,48515,26.9,40.1,8.2,33.2,20.8,32.7,12.5,8.1,41,47.8,12075,11631,23706,8456,7801,16257,2296,2255,4551,1415,1651,3066,1272,1184,2456,964,1069,2033,983,757,1740,43080.7247,10964573.83,0.107030817,0.279940949,0.188595682,0.151073384,0.125053823
18,40,St.Andrew-Windfields (40),40,40,St. Andrew-Windfields,17564,24.5,13.7,7.6,21,92367,14,32.8,6.7,34.3,3.9,61.9,2,10.6,43.9,39.7,7382,8459,15841,5495,6463,11958,1816,1795,3611,732,930,1662,860,676,1536,440,651,1091,395,432,827,13025.99746,7299579.761,0.069158722,0.301973574,0.138986453,0.128449574,0.091235993
19,61,Taylor-Massey (61),61,61,Crescent Town,15211,25.3,10.5,11.8,30.9,39265,32.3,63.7,9.8,35.4,10.9,36.4,4.8,24.4,61.3,62.8,7340,6694,14034,5063,4484,9547,1604,1658,3262,798,940,1738,1018,947,1965,784,700,1484,544,488,1032,5940.70005,1062970.034,0.108096784,0.341678014,0.182046716,0.205823819,0.1554415
20,21,Humber Summit (21),21,21,Humber Summit,12766,26.4,16.7,3.8,11.2,57809,19.6,25.3,7.9,42.1,26.4,17.9,9.2,14,62.5,54.2,4943,5152,10095,3648,3809,7457,1564,1732,3296,637,786,1423,1030,996,2026,332,436,768,427,328,755,12608.57312,7966905.398,0.10124715,0.442000805,0.19082741,0.271691029,0.102990479
21,22,Humbermede (22),22,22,Humbermede,14778,28.1,13,4.6,16.2,46463,27.6,46.8,9,39.5,26,17,9.4,15.9,63.7,70.1,5857,6281,12138,4183,4333,8516,1707,1931,3638,720,884,1604,1039,1013,2052,423,600,1023,444,404,848,12445.72215,4421664.976,0.099577266,0.427195867,0.188351339,0.240958196,0.12012682
22,133,Centennial Scarborough (133),133,133,Centennial Scarborough,12450,25.3,12.1,3.1,9.6,99376,7.3,6.2,7.3,32.2,7.3,35.8,1,3.4,35.3,34.8,5134,5560,10694,3890,4270,8160,1635,1607,3242,683,790,1473,865,715,1580,316,491,807,309,269,578,12038.48119,5468486.341,0.070833333,0.397303922,0.180514706,0.193627451,0.098897059
23,75,Church-Yonge Corridor (75),75,75,Church-Yonge Corridor,24379,7.2,8.8,41,56.7,43651,17.9,71.4,7,25,4.5,52.9,1.9,8.2,35.6,34.6,16163,12566,28729,9975,6376,16351,2737,1764,4501,1606,1465,3071,1421,865,2286,1272,1056,2328,960,512,1472,6347.047029,1364546.653,0.090025075,0.275273684,0.187817259,0.139807963,0.142376613
24,120,Clairlea-Birchmount (120),120,120,Clairlea-Birchmount,19850,23.5,14.5,7.9,18.5,52060,20.7,36.4,6.1,37.5,15.1,25.8,3.2,12.8,49.6,49.3,10004,10853,20857,7226,7842,15068,2875,3262,6137,1206,1543,2749,1649,1588,3237,817,1051,1868,933,842,1775,16485.39642,7397299.898,0.11779931,0.407286966,0.182439607,0.214826122,0.12397133
25,123,Cliffcrest (123),123,123,Cliffcrest,14531,24.4,16.4,9.3,28.1,62770,14.7,32.5,8.2,37.3,13,26.8,1.4,4.3,33.5,27,5996,6515,12511,4651,5070,9721,1836,2046,3882,733,1028,1761,968,927,1895,477,637,1114,630,607,1237,19946.0232,7191379.703,0.127250283,0.399341632,0.181154202,0.194938792,0.114597264
26,44,Flemingdon Park (44),44,44,Flemingdon Park,21287,28.7,10.5,8.3,27.1,41278,36.7,55.4,12.5,39.6,11.7,37,5.9,23,67.4,77.2,8423,9422,17845,5792,6520,12312,2101,2363,4464,818,1069,1887,1370,1333,2703,573,780,1353,525,432,957,8487.752111,2473306.367,0.077729045,0.362573099,0.153265107,0.21954191,0.109892788
27,92,Corso Italia-Davenport (92),92,92,Corso Italia-Davenport,14405,21.6,14,7.8,15.5,54222,18.2,32.2,6.5,35.8,29.1,19.9,12.2,5,53.5,24,5940,6122,12062,4142,4266,8408,1455,1677,3132,689,949,1638,826,830,1656,480,630,1110,560,326,886,6077.824807,1884658.144,0.105375833,0.372502379,0.194814462,0.196955281,0.132017127
28,125,Ionview (125),125,125,Ionview,13025,24,12.1,9.9,25.7,44090,25.2,59.3,9.9,36.7,15.9,23.6,4,16.1,57.6,66,3651,3969,7620,2659,2874,5533,1165,1353,2518,427,563,990,647,678,1325,284,381,665,324,304,628,6356.150159,1952873.822,0.113500813,0.455087656,0.178926441,0.239472257,0.120187963
29,90,Junction Area (90),90,90,Junction Area,13168,21.9,8.8,12.6,26.5,53543,17.1,44.9,7.5,28.4,13.9,36,3.6,7.1,40.3,28.7,4925,4948,9873,3409,3273,6682,946,1002,1948,613,777,1390,518,505,1023,384,502,886,289,249,538,7789.281896,2631832.26,0.080514816,0.291529482,0.20802155,0.153097875,0.132595031
30,57,Broadview North (57),57,57,Broadview North,11596,18.7,12.9,18.1,36.1,40774,27.7,70.6,7.6,30.1,11.6,30.6,4.4,11.4,48.5,24.3,4507,5279,9786,3245,3815,7060,1057,1314,2371,542,805,1347,534,604,1138,352,508,860,445,425,870,7178.123818,1745969.198,0.123229462,0.335835694,0.190793201,0.161189802,0.121813031
31,10,Princess-Rosethorn (10),10,10,Princess-Rosethorn,10965,24.7,18,5.7,18.9,118478,4.8,14.7,6.4,36.3,3.1,60.2,1.1,4.6,30,14.1,4233,4602,8835,3310,3685,6995,1239,1231,2470,500,555,1055,552,486,1038,284,441,725,255,256,511,11051.87759,5171203.325,0.07305218,0.353109364,0.150822016,0.148391708,0.103645461
32,68,North Riverdale (68),68,68,North Riverdale,12428,19.1,11.1,15,25.1,69084,11.7,44.5,4.2,25.2,8.8,54.9,5.8,3.9,29.4,25.6,4787,5183,9970,3698,3912,7610,1044,1022,2066,524,705,1229,475,412,887,360,478,838,381,313,694,5475.635769,1786040.7,0.091195795,0.271484888,0.161498029,0.116557162,0.110118265
33,13,Etobicoke West Mall (13),13,13,Etobicoke West Mall,10675,23.7,18,9.9,30.7,52437,20.9,43.4,5.4,35.3,9.3,29.9,2.5,13.2,51.9,35.9,4134,4768,8902,3042,3631,6673,1212,1549,2761,440,692,1132,655,717,1372,267,466,733,327,393,720,6476.058605,1796641.65,0.107897497,0.413756931,0.169638843,0.205604676,0.109845647
34,102,Forest Hill North (102),102,102,Forest Hill North,12294,22.9,13.7,16.2,44,56972,14.1,66.9,6.3,30.5,4.4,60.3,1.4,13.1,37,18.4,4381,5898,10279,3203,4345,7548,1037,1353,2390,471,694,1165,519,569,1088,308,562,870,287,388,675,5693.115911,1569106.051,0.089427663,0.31664017,0.154345522,0.144144144,0.115262321
35,25,Glenfield-Jane Heights (25),25,25,Glenfield-Jane Heights,30886,29,14.6,5.4,18.7,44208,28.2,46.8,8.8,42.3,30.7,9.9,10.3,9.8,63.6,72.5,11443,12984,24427,8284,9441,17725,3568,4474,8042,1620,2089,3709,2258,2523,4781,844,1212,2056,1063,840,1903,11437.36315,5149746.934,0.107362482,0.45370945,0.209252468,0.269732017,0.115994358
36,65,Greenwood-Coxwell (65),65,65,Greenwood-Coxwell,14705,21.1,11.5,13.7,27,48198,23.1,39.5,9.8,32.4,17.7,30.2,7.9,6.6,38.7,44.1,6073,6321,12394,4294,4430,8724,1293,1439,2732,751,986,1737,694,715,1409,504,671,1175,517,502,1019,6843.00221,1675174.695,0.116804218,0.313159101,0.199105915,0.161508482,0.134685924
37,140,Guildwood (140),140,140,Guildwood,10026,20.7,23.8,9.5,23.5,75023,8,21.1,5.2,39,8.6,31.9,0.9,2.5,30.1,22.5,3753,4521,8274,3041,3764,6805,1392,1749,3141,440,741,1181,683,661,1344,254,451,705,349,409,758,9830.064411,3804331.102,0.111388685,0.461572373,0.173548861,0.197501837,0.103600294
38,81,Trinity-Bellwoods (81),81,81,Trinity-Bellwoods,16604,15.5,14.9,11.4,15.2,52218,20.5,43.3,6.7,34,24.1,34.3,16.3,6.6,48,31,7063,7186,14249,4587,4485,9072,1405,1589,2994,807,1011,1818,798,861,1659,531,664,1195,576,349,925,5343.121428,1729723.583,0.101962081,0.330026455,0.200396825,0.18287037,0.131723986
39,43,Victoria Village (43),43,43,Victoria Village,17047,22.1,18,14.6,32.4,42317,25.9,56.3,8.8,39.8,13.7,28,4.6,12.5,55.1,54.7,6573,7931,14504,4863,5877,10740,2034,2628,4662,801,1233,2034,1126,1339,2465,586,868,1454,614,710,1324,11800.3417,4755219.248,0.123277467,0.434078212,0.189385475,0.229515829,0.13538175
40,77,Waterfront Communities-The Island (77),77,77,Waterfront Communities-The Island,26015,9.5,8.8,32.8,42.3,60871,14.9,51.8,5.7,21.6,3.2,58.1,1.5,6.3,38.3,36.8,11002,12017,23019,6640,7077,13717,1836,2012,3848,1163,1468,2631,875,855,1730,680,949,1629,565,575,1140,18366.60835,13416295.03,0.083108551,0.280527812,0.191805788,0.126120872,0.118757746
41,136,West Hill (136),136,136,West Hill,25632,26.9,13.1,9.9,29.9,46739,24.2,40.3,8.3,38.3,14.5,17.9,2,7.3,48.3,55.2,9294,10628,19922,6807,7914,14721,2872,3606,6478,1196,1748,2944,1740,1886,3626,707,1093,1800,796,814,1610,14976.57177,9625439.6,0.10936757,0.440051627,0.199986414,0.246314788,0.122274302
42,1,West Humber-Clairville (1),1,1,West Humber-Clairville,32252,26.8,11.3,3.7,11.7,63413,17.5,27.4,7,33.7,18.4,22.9,5.4,12.2,60,77.9,13915,14046,27961,9718,9673,19391,4027,4264,8291,1718,1940,3658,2555,2323,4878,938,1168,2106,727,600,1327,27924.19697,30145323.95,0.068433809,0.427569491,0.188644216,0.251560002,0.108607086
43,35,Westminster-Branson (35),35,35,Westminster-Branson,24403,20.6,19.1,10.7,32.3,42518,28.8,61.8,8.9,37.5,5.2,46.4,6.1,24,71.3,30,8984,11221,20205,6522,8568,15090,2647,3552,6199,883,1264,2147,1551,1691,3242,619,1016,1635,631,769,1400,11495.36518,3667761.799,0.092776673,0.410801856,0.142279655,0.214844268,0.108349901
44,124,Kennedy Park (124),124,124,Kennedy Park,17034,24.7,13.1,10.9,24.2,41132,28.2,44.8,10.5,39.7,17.9,22.3,4.5,11.3,55.8,64.8,6702,7355,14057,5029,5435,10464,2094,2516,4610,823,1088,1911,1301,1342,2643,531,755,1286,692,565,1257,7606.631535,3580725.19,0.120126147,0.440558104,0.182626147,0.252580275,0.122897554
45,6,Kingsview Village-The Westway (6),6,6,Kingsview Village-The Westway,21400,26.2,15.7,7.6,20.5,50933,23.5,42.7,9.4,37.5,11.9,27.8,4.7,13.5,56,54.3,8519,9555,18074,6189,6872,13061,2397,2839,5236,1011,1359,2370,1571,1498,3069,563,825,1388,652,662,1314,10449.40595,5063371.17,0.100604854,0.40088814,0.181456244,0.234974351,0.106270577
46,49,Bayview Woods-Steeles (49),49,49,Bayview Woods-Steeles,13298,20.8,21.2,7,21.4,64948,22,40.1,8.2,40.8,4.2,53.2,5.7,13,59.7,58.1,5535,6796,12331,4288,5481,9769,1719,2233,3952,513,725,1238,969,990,1959,381,619,1000,396,519,915,8253.154502,4088934.055,0.09366363,0.404544989,0.126727403,0.200532296,0.102364623
47,33,Clanton Park (33),33,33,Clanton Park,13732,24.2,15.8,11.4,29.4,51962,16.4,46.3,6.4,34.6,9,40.1,3.4,9.5,48.2,30,5173,6491,11664,3772,4765,8537,1479,1809,3288,626,777,1403,787,823,1610,382,565,947,402,333,735,10147.16166,4142429.413,0.086095818,0.385147007,0.164343446,0.18859084,0.110928898
48,110,Keelesdale-Eglinton West (110),110,110,Keelesdale-Eglinton West,11231,23.8,13.8,9.1,28.3,45651,19.6,32.2,7.5,35.6,34.4,9.6,8.1,4.3,54.7,34.3,4363,4695,9058,3173,3371,6544,1209,1456,2665,565,777,1342,753,790,1543,335,481,816,407,311,718,5670.472088,1750773.841,0.109718826,0.407243276,0.20507335,0.235788509,0.124694377
49,54,O'Connor-Parkview (54),54,54,O'Connor-Parkview,17740,24.6,13.5,11.6,31.8,50163,22.6,48.2,7.8,37.1,13.6,30.4,2.2,10.9,41.4,37.6,6663,7469,14132,5027,5617,10644,1869,2179,4048,883,1302,2185,1029,1002,2031,625,877,1502,685,738,1423,10927.17824,4876766.986,0.133690342,0.380308155,0.20527997,0.190811725,0.141112364
50,58,Old East York (58),58,58,Old East York,9019,20.5,15.5,12.9,29.7,63185,14.4,29,5,34.2,13.7,32,2.4,4.5,34.5,23.2,3608,3927,7535,2799,3061,5860,999,1118,2117,483,625,1108,485,473,958,275,386,661,402,341,743,7485.024779,2349933.459,0.126791809,0.361262799,0.189078498,0.163481229,0.112798635
51,96,Casa Loma (96),96,96,Casa Loma,9815,15.9,17.9,22.5,36.5,71705,7.1,61.4,6.7,30.5,2,67.1,0.8,4.9,27.4,14.5,3445,4247,7692,2492,2995,5487,792,802,1594,402,564,966,356,292,648,226,364,590,223,248,471,5937.879715,1922539.65,0.085839256,0.29050483,0.176052488,0.118097321,0.107526882
52,78,Kensington-Chinatown (78),78,78,Kensington-Chinatown,17102,15.7,14.9,20.2,35.3,34260,38.6,70.2,7.8,37.3,16.6,40.2,19.3,13.4,54.3,65.8,8145,8586,16731,4856,5127,9983,1498,1872,3370,856,1047,1903,907,1045,1952,605,783,1388,629,542,1171,5024.453849,1534712.312,0.117299409,0.337573876,0.190624061,0.195532405,0.139036362
53,15,Kingsway South (15),15,15,Kingsway South,8780,25.4,17.7,8.8,25.3,121671,4,16.3,4,34.9,2.5,64,0.1,1.2,21.4,8.5,3292,3924,7216,2684,3210,5894,905,997,1902,376,522,898,345,334,679,213,364,577,214,228,442,8062.512269,2638301.22,0.074991517,0.322701052,0.152358331,0.1152019,0.097896166
54,89,Runnymede-Bloor West Village (89),89,89,Runnymede-Bloor West Village,9557,23.9,12.1,9.6,25.7,80618,6.6,19.7,4.4,28.4,5.2,52.8,1.2,2.5,29.4,11.8,3774,4320,8094,2844,3184,6028,814,899,1713,423,610,1033,396,379,775,287,449,736,242,192,434,6748.11256,1593977.768,0.071997346,0.284173855,0.171366954,0.128566689,0.122096881
55,101,Forest Hill South (101),101,101,Forest Hill South,10842,21.3,17.8,19.1,38.6,90832,7.7,45.4,4.8,35.3,2.4,67.1,0.4,3.8,23.7,11.2,3567,4472,8039,2573,3249,5822,887,938,1825,457,602,1059,352,375,727,241,389,630,228,298,526,7188.574107,2480022.91,0.09034696,0.313466163,0.181896256,0.124871178,0.108210237
56,53,Henry Farm (53),53,53,Henry Farm,11288,25,9.3,6.4,17.5,56644,24.7,62.7,10.9,32.1,4.5,54.9,5.8,32.8,70.8,70.3,3884,4314,8198,2559,2745,5304,779,838,1617,275,378,653,499,457,956,222,302,524,189,163,352,8150.843708,2593263.648,0.066365008,0.304864253,0.12311463,0.180241327,0.098793363
57,95,Annex (95),95,95,Annex,27482,10.7,15.6,29.5,38.1,53873,12.9,63.7,7.2,27.2,3.8,63.3,1.6,4.7,31.5,20.6,13091,14534,27625,8669,9323,17992,2552,2745,5297,1354,1772,3126,1247,1239,2486,930,1233,2163,879,896,1775,7606.03923,2790356.179,0.098654958,0.294408626,0.173743886,0.138172521,0.120220098
58,109,Caledonia-Fairbank (109),109,109,Caledonia-Fairbank,10281,24.4,11.9,6.9,24.4,51864,18.9,31.5,5.2,33.4,36.5,10.7,10.8,7.6,60.2,35.2,3869,4071,7940,2729,2863,5592,1023,1151,2174,405,663,1068,583,604,1187,278,422,700,329,239,568,4951.208304,1544434.534,0.101573677,0.388769671,0.190987124,0.212267525,0.125178827
59,8,Humber Heights-Westmount (8),8,8,Humber Heights-Westmount,10531,20.4,28.2,13.2,33.9,50230,19.5,44.1,8,45.3,10.2,31.3,4.2,8.3,50,20.3,4000,5188,9188,3144,4195,7339,1420,2068,3488,452,723,1175,740,889,1629,298,568,866,407,459,866,9088.072007,2802679.713,0.117999727,0.47526911,0.160103556,0.221964845,0.117999727
60,86,Roncesvalles (86),86,86,Roncesvalles,14655,19.3,11.6,16.4,30.2,47685,19.4,55.1,7.6,29.5,11.5,42.4,4.9,7.6,40.7,31.7,6606,6561,13167,4755,4481,9236,1315,1264,2579,805,919,1724,707,625,1332,544,620,1164,549,354,903,6163.829327,1504527.275,0.097769597,0.279233434,0.186660892,0.144218276,0.126028584
61,79,University (79),79,79,University,5906,10.7,16,18.4,19.7,58781,11.6,55.7,4.3,28.3,6.6,66,4.4,4.5,33.7,24.7,3697,3776,7473,2079,2178,4257,581,768,1349,386,456,842,326,368,694,237,275,512,208,223,431,4971.780127,1405236.489,0.101245008,0.316889829,0.197791872,0.163025605,0.120272492
62,48,Hillcrest Village (48),48,48,Hillcrest Village,18327,20.2,18.7,7.6,27.2,59609,22.2,22.7,8,40.4,5,46.9,7.3,12.8,69.2,72.2,7261,8490,15751,5513,6793,12306,2113,2603,4716,634,814,1448,1137,1200,2337,444,684,1128,400,461,861,9570.813843,5395665.573,0.06996587,0.383227694,0.117666179,0.189907362,0.091662604
63,115,Mount Dennis (115),115,115,Mount Dennis,12835,28.4,10,8.7,27,41062,29.7,48.3,11.2,32.9,22.1,13.9,4.5,11.4,57.7,65.2,4919,5605,10524,3413,3934,7347,1263,1599,2862,582,943,1525,783,883,1666,380,598,978,383,422,805,6852.134042,2129358.652,0.109568531,0.389546754,0.207567715,0.226759221,0.133115557
64,126,Dorset Park (126),126,126,Dorset Park,24374,25.1,13.6,7.6,23.3,46485,27.9,37.5,9.4,35.3,14.6,24.1,7.1,15.4,61.4,71.9,7571,8658,16229,5541,6348,11889,2278,2696,4974,828,1065,1893,1539,1472,3011,528,766,1294,629,566,1195,10566.899,6012087.752,0.100513079,0.418369922,0.159222811,0.253259315,0.108840104
65,9,Edenbridge-Humber Valley (9),9,9,Edenbridge-Humber Valley,14453,21.9,17.7,10.7,23.2,72567,10.3,45,5.2,35.4,5.7,48.2,2,9.7,42.4,13,5797,6649,12446,4371,5196,9567,1670,1923,3593,649,910,1559,805,738,1543,396,651,1047,405,419,824,11180.41221,5511577.792,0.086129403,0.375561827,0.162955995,0.161283579,0.109438696
66,93,Dovercourt-Wallace Emerson-Junction (93),93,93,Dovercourt-Wallace Emerson-Junction,34737,19.9,11.5,10.7,20.7,46897,21.5,47.3,8.1,33.6,26.4,25.9,10,7.5,52.9,37.1,15011,14996,30007,9990,9673,19663,3242,3523,6765,1838,2341,4179,1906,1906,3812,1138,1549,2687,1118,746,1864,9225.591132,3725825.359,0.094797335,0.344047195,0.21253115,0.193866653,0.136652596
67,36,Newtonbrook West (36),36,36,Newtonbrook West,20489,19.5,17.3,7.8,19.9,51629,23.7,44.6,8.1,37.3,5.4,42.7,6.4,18.6,64,42.1,8438,9806,18244,5995,7063,13058,2162,2474,4636,695,903,1598,1177,1148,2325,564,817,1381,536,458,994,8634.194801,4695675.753,0.076121918,0.355031398,0.122377087,0.178051769,0.105758922
68,82,Niagara (82),82,82,Niagara,14563,11.4,5.4,28.1,42.9,64684,14.6,36.6,4.6,17.8,6.2,50.8,3.5,5.5,35,32.9,7430,7692,15122,3954,3874,7828,956,917,1873,827,1018,1845,478,467,945,502,642,1144,304,232,536,11006.5377,3241278.601,0.068472151,0.23926929,0.235692386,0.120720491,0.146142054
