OBJECTID,AREA_CODE,AREA_NAME,NID,NID_1,NBRNAME,TotPop,per19under,per65over,perlivealone,perc65uplivealone,medincpretax,perfamlowincpretax,perrenters,percunemplymnt,pernotinlbrforce,perlessthanHS,percunivgrad,percNoEngFr,percRctImmg5yr,percImmg,percMinority,malePop20up,femalePop20up,totalPop20up,malePop35up,femalePop35up,totalPop35up,maleNbrHBP20up,femaleNbrHBP20up,totalNbrHBP20up,maleNbrAsthma20up,femaleNbrAsthma20up,totalNbrAsthma20up,maleNbrDbts20up,femaleNbrDbts20up,totalNbrDbts20up,maleNbrMH20up,femaleNbrMH20up,totalNbrMH20up,maleNbrCOPD35up,femaleNbrCOPD35up,totalNbrCOPD35up,Shape_Length,Shape_Area,prevCOPD,prevHBP,prevAsthma,prevDbts,pervMH
69,112,Beechborough-Greenbrook (112),112,112,Beechborough-Greenbrook,6526,26,14.9,10.9,24.4,38620,28.4,64.6,8.8,40,22,11.9,4.5,6.4,52.8,52.9,2444,2903,5347,1723,2100,3823,650,974,1624,333,488,821,472,538,1010,198,311,509,202,205,407,6414.719309,1833622.836,0.106460895,0.42479728,0.214752812,0.264190426,0.133141512
70,88,High Park North (88),88,88,High Park North,20969,16,12.4,21.6,45.8,53168,15.8,68,6.1,28.8,4.2,57.5,1.9,10.3,41,20,8534,9786,18320,5850,6604,12454,1667,1925,3592,874,1165,2039,717,781,1498,610,918,1528,494,518,1012,6319.774771,1882284.176,0.081259033,0.288421391,0.163722499,0.12028264,0.122691505
71,87,High Park-Swansea (87),87,87,High Park-Swansea,19984,18.6,16.3,17.5,38.6,63763,10.4,38.5,5,30.1,3.1,57,1.3,3.4,32.4,13.4,8450,10143,18593,6196,7360,13556,1854,2240,4094,915,1322,2237,754,918,1672,650,1018,1668,503,536,1039,10614.36666,5358123.034,0.076645028,0.302006492,0.16501918,0.123340218,0.123045146
72,134,Highland Creek (134),134,134,Highland Creek,12853,23.3,11.1,2.4,8.3,86852,10.9,6.3,7.1,31.3,9.9,27.5,1.4,2.6,53.5,66.2,5375,5507,10882,3807,4008,7815,1807,1745,3552,706,825,1531,1127,962,2089,317,450,767,332,249,581,9914.922871,5248057.663,0.07434421,0.454510557,0.19590531,0.267306462,0.098144594
73,74,North St.James Town (74),74,74,North St. James Town,17114,20.1,8.1,22.6,47.2,30237,43,96.4,10.5,33.7,11.7,37,3.8,21.8,60,68.2,8012,7481,15493,5024,4554,9578,1512,1591,3103,747,836,1583,1012,935,1947,600,623,1223,534,470,1004,2574.408515,424196.7624,0.104823554,0.323971602,0.165274588,0.203278346,0.127688453
74,121,Oakridge (121),121,121,Oakridge,13368,29,9.4,12.4,37.9,31367,46.1,70.2,13.7,38.9,14.7,31.8,5.5,21.9,58.5,72.7,5308,5580,10888,3879,3841,7720,1493,1634,3127,572,791,1363,959,871,1830,481,563,1044,486,441,927,7808.877908,1878562.216,0.12007772,0.405051813,0.176554404,0.237046632,0.135233161
75,98,Rosedale-Moore Park (98),98,98,Rosedale-Moore Park,20600,17.7,19.5,21.9,37.6,99740,6.4,44.3,5.3,33.9,1.7,66.9,0.5,4.2,27.2,13.6,8308,10037,18345,6501,7821,14322,2095,2208,4303,864,1223,2087,847,756,1603,485,859,1344,539,635,1174,9663.319482,4669066.029,0.081971792,0.300446865,0.145719872,0.111925709,0.093841642
76,107,Oakwood Village (107),107,107,Oakwood-Vaughan,21443,21.1,15.3,12.4,33.8,44924,18.8,45.6,6.6,36.3,20.8,25.5,6.9,8.1,53.8,40.7,8219,9290,17509,6037,6923,12960,2230,2808,5038,936,1372,2308,1236,1521,2757,602,889,1491,760,647,1407,6334.989189,2219473.016,0.108564815,0.388734568,0.17808642,0.212731481,0.115046296
77,119,Wexford/Maryvale (119),119,119,Wexford/Maryvale,26644,23.1,17.7,9.3,23.6,51071,19.6,37.5,7.4,39.6,15.3,23.6,2.9,8,47.6,45.5,10441,11558,21999,7806,8823,16629,3261,3918,7179,1260,1690,2950,1813,1900,3713,777,1125,1902,1043,942,1985,14186.63188,10263854.27,0.119369776,0.431715677,0.177400926,0.223284623,0.114378495
78,138,Eglinton East (138),138,138,Eglinton East,22387,27.9,12.8,7.8,21.9,43934,31.1,54.5,10.5,37.4,16.3,22.6,3.8,12,55.7,68.7,8083,9589,17672,5911,6923,12834,2520,3135,5655,896,1375,2271,1649,1736,3385,597,913,1510,630,651,1281,10012.86698,3223146.085,0.099812997,0.440626461,0.176951847,0.263752532,0.117656226
79,5,Elms-Old Rexdale (5),5,5,Elms-Old Rexdale,9437,29.9,10.5,5.8,13,53779,22.7,41.2,7.8,36.5,15.2,18.8,3.6,9.8,53.8,60.5,3787,4028,7815,2732,2928,5660,1071,1167,2238,488,659,1147,651,626,1277,287,396,683,277,255,532,9356.687072,2931145.328,0.093992933,0.39540636,0.202650177,0.225618375,0.120671378
80,129,Agincourt North (129),129,129,Agincourt North,30156,22.5,14.2,3,9.3,58095,24.4,18.4,8.7,37.8,13.2,29.8,16.2,14.3,72.6,88.2,10032,10906,20938,7328,8193,15521,2793,3148,5941,935,1040,1975,1639,1627,3266,523,764,1287,599,427,1026,12381.26497,7261856.697,0.066103988,0.382771729,0.127246956,0.210424586,0.082919915
81,128,Agincourt South-Malvern West (128),128,128,Agincourt South-Malvern West,21562,22.4,15.1,4.4,14.8,55041,23.2,26.4,8.5,38.8,16.4,28.9,13,14.2,66.7,78.2,8925,9745,18670,6619,7383,14002,2525,2846,5371,824,1021,1845,1483,1480,2963,477,688,1165,672,507,1179,15386.5563,7873163.266,0.084202257,0.383588059,0.13176689,0.211612627,0.0832024
82,32,Englemount-Lawrence (32),32,32,Englemount-Lawrence,21115,27.8,19.6,14,40.8,45060,25.5,57.8,6.5,41.6,8.8,39.7,2.6,9.2,47.2,35.8,5844,7713,13557,4000,5543,9543,1576,2267,3843,710,1031,1741,859,1088,1947,441,685,1126,454,546,1000,8311.869028,3478190.152,0.10478885,0.402703552,0.182437389,0.204023892,0.117992246
83,11,Eringate-Centennial-West Deane (11),11,11,Eringate-Centennial-West Deane,18533,22.6,18.9,6.7,20.5,71005,10.7,14.1,5.8,38.2,8.5,33,2.7,4.3,44,27.7,7373,8191,15564,5650,6464,12114,2389,2648,5037,873,1217,2090,1171,1133,2304,471,797,1268,577,625,1202,15361.24598,8645508.044,0.099224038,0.415799901,0.172527654,0.190193165,0.10467228
84,117,L'Amoreaux (117),117,117,L'Amoreaux,45862,23.4,15.8,6.2,22.5,51037,26.1,34.6,9.7,40.2,14.5,29.9,11.3,17.2,66.3,76.2,16692,19536,36228,12313,14762,27075,4830,6089,10919,1606,2159,3765,2890,3182,6072,966,1532,2498,1307,1172,2479,12565.6272,7154890.521,0.09156048,0.403287165,0.139058172,0.224265928,0.092262235
85,42,Banbury-Don Mills (42),42,42,Banbury-Don Mills,25439,19.2,23.7,14.5,32.1,74228,12.3,38.9,5.9,39.8,4,55.5,2.2,9.6,47.6,38.6,8819,10762,19581,6992,8762,15754,2715,3387,6102,878,1391,2269,1290,1291,2581,591,945,1536,651,814,1465,18165.12392,10041548.49,0.092992256,0.387330202,0.144026914,0.163831408,0.097499048
86,34,Bathurst Manor (34),34,34,Bathurst Manor,14945,20,21.7,11.8,28.6,54314,16.7,47.6,5.8,37.6,9.8,41.4,5.1,14.7,56,24.4,5831,6677,12508,4252,4976,9228,1705,1992,3697,644,803,1447,878,913,1791,452,670,1122,477,445,922,14569.47857,4760303.541,0.099913307,0.400628522,0.156805375,0.194083225,0.121586476
87,20,Alderwood (20),20,20,Alderwood,11656,20.2,17.9,10,25.1,62842,9.5,21.9,5.4,33.8,14.7,20.3,2.9,2.4,37,10.2,4950,5122,10072,3755,3936,7691,1521,1604,3125,633,809,1442,751,695,1446,428,556,984,498,410,908,9168.698727,4978487.859,0.11806007,0.406319074,0.187491874,0.188011962,0.12794175
88,72,Regent Park (72),72,72,Regent Park,10387,36.8,4.4,10.6,34.8,24775,64.6,89.1,15.5,45.9,23.6,23.5,7.4,15,53.8,78.8,3930,3551,7481,2745,2361,5106,813,784,1597,517,550,1067,577,508,1085,351,345,696,355,207,562,3258.967627,650295.3254,0.110066588,0.312769291,0.208969839,0.212495104,0.136310223
89,127,Bendale (127),127,127,Bendale,25479,22.9,17.7,8.5,22.5,51995,21.9,31.9,8.9,40.4,14.3,26.1,4.3,9.7,53.4,58.3,8856,9624,18480,6596,7319,13915,2892,3375,6267,1009,1324,2333,1810,1846,3656,609,861,1470,832,741,1573,13174.98373,7456416.101,0.113043478,0.450377291,0.167660798,0.262738052,0.105641394
90,122,Birchcliffe-Cliffside (122),122,122,Birchcliffe-Cliffside,21652,21.6,14.4,13.8,35.1,58717,13.2,32.4,6.5,32.3,13.8,27.7,1.8,3.3,27.6,20.7,8944,9765,18709,6902,7750,14652,2600,2915,5515,1148,1646,2794,1251,1287,2538,746,1106,1852,963,1082,2045,14693.33018,6008883.013,0.13957139,0.376399126,0.190690691,0.173218673,0.126399126
91,91,Weston-Pellam Park (91),91,91,Weston-Pellam Park,12098,24.6,9.7,9.2,17,46995,20.5,38.2,8.4,33.2,36.6,11.2,9.8,5.3,56.1,37.2,4881,4808,9689,3424,3278,6702,1155,1347,2502,579,759,1338,684,743,1427,426,520,946,454,308,762,5535.385411,1460622.107,0.113697404,0.373321397,0.199641898,0.212921516,0.141151895
92,26,Downsview-Roding-CFB (26),26,26,Downsview-Roding-CFB,32010,23.2,15.9,9.3,19.3,45772,21.9,53.8,8.5,37.1,22.5,15.6,6.8,9.3,55.7,48.4,13245,14557,27802,9727,10491,20218,3885,4595,8480,1597,2083,3680,2230,2340,4570,1052,1449,2501,1236,1014,2250,21300.31785,14992190.74,0.111286972,0.419428232,0.182016025,0.226036205,0.123701652
93,114,Lambton Baby Point (114),114,114,Lambton Baby Point,7780,25.8,12.2,11.4,35.7,66138,19.1,42.1,10.5,32.8,7.4,49,2.2,5.1,34.2,20.9,2637,3110,5747,2014,2381,4395,604,714,1318,335,421,756,278,286,564,201,326,527,168,162,330,8088.473107,1781937.59,0.075085324,0.299886234,0.172013652,0.128327645,0.119908987
94,76,Bay Street Corridor (76),76,76,Bay Street Corridor,15325,10.2,9.4,29.5,39.2,50593,25.1,68.2,7.4,30.2,3.2,70.8,2.7,12.1,43.6,52.5,8871,9822,18693,4902,4974,9876,1260,1296,2556,708,895,1603,646,601,1247,445,622,1067,331,356,687,6933.183249,1809355.349,0.069562576,0.258809235,0.162312677,0.126265695,0.108039692
95,24,Black Creek (24),24,24,Black Creek,21720,31.9,10.6,6.7,26.3,39755,35.7,66.1,10.6,40.1,31.7,10.4,7.3,12.8,61.8,78.1,7807,8931,16738,5396,6114,11510,2067,2786,4853,959,1381,2340,1364,1657,3021,565,796,1361,610,572,1182,8441.444131,3453824.898,0.10269331,0.421633362,0.203301477,0.26246742,0.118245004
96,51,Willowdale East (51),51,51,Willowdale East,41054,17.5,10.5,13.8,24.5,55986,27.3,33.6,7.5,37.4,3,59,6.1,15.7,62.2,67.5,12247,14753,27000,8305,10229,18534,2396,2738,5134,830,1092,1922,1250,1218,2468,673,1056,1729,521,526,1047,9482.383478,5061015.628,0.056490774,0.277004424,0.103701306,0.133160678,0.093288011
97,37,Willowdale West (37),37,37,Willowdale West,12517,16.1,23.3,15.2,35.9,57733,15.9,30,7.1,42.3,7,54.1,4.6,9.5,51.6,37.3,5865,6960,12825,4100,5068,9168,1534,1886,3420,520,717,1237,769,847,1616,372,594,966,359,430,789,7476.939622,2883462.218,0.086060209,0.373036649,0.134925829,0.176265271,0.105366492
98,131,Rouge (131),131,131,Rouge,43191,28,8.3,3.3,10.4,76945,13.1,13.3,8,28.8,10.1,27.6,3.3,6,55.7,75.7,8979,9970,18949,6470,7446,13916,2853,3241,6094,1146,1538,2684,1748,1730,3478,545,791,1336,599,602,1201,36133.55984,37534494.54,0.086303535,0.437913193,0.192871515,0.24992814,0.096004599
99,2,Mount Olive-Silverstone-Jamestown (2),2,2,Mount Olive-Silverstone-Jamestown,32127,32.2,8.1,4.1,15.4,48146,28.8,52,9.9,34,20.1,23.6,7.6,22.2,67.1,85.3,12256,13082,25338,8498,8880,17378,3305,3484,6789,1345,1572,2917,2183,2171,4354,866,1130,1996,612,455,1067,12954.66412,4637541.78,0.061399471,0.39066636,0.16785591,0.250546668,0.114857866
100,71,Cabbagetown-South St.James Town (71),71,71,Cabbagetown-South St. James Town,11120,9.4,13.8,31,47.8,54654,15.6,54.4,6,27.1,6.6,47.6,2.4,5.9,32.4,23,6569,4918,11487,4862,3400,8262,1433,1083,2516,691,688,1379,691,507,1198,555,466,1021,521,351,872,5759.112855,1417963.006,0.105543452,0.304526749,0.166908739,0.14500121,0.123577826
101,99,Mount Pleasant East (99),99,99,Mount Pleasant East,15210,20.2,12.4,18.5,42.9,78035,6.7,40.7,5.6,27.5,2.9,62.8,0.4,4.1,25.9,12.2,5822,7255,13077,4416,5477,9893,1254,1521,2775,648,923,1571,483,561,1044,362,616,978,336,408,744,11249.91423,3088926.684,0.07520469,0.280501365,0.158799151,0.105529162,0.098857778
102,104,Mount Pleasant West (104),104,104,Mount Pleasant West,23728,10.2,12.6,37.9,60.2,49651,16.6,80.7,5.8,24,2.8,58.1,1.5,11.9,39.9,28.2,11122,14233,25355,6782,8960,15742,1982,2824,4806,1097,1728,2825,974,1209,2183,780,1253,2033,567,810,1377,5182.469731,1343312.143,0.087473002,0.305297929,0.179456232,0.138673612,0.129144963
103,69,Blake-Jones (69),69,69,Blake-Jones,7765,23.8,9.9,13.4,23.3,49352,26.5,44.7,7,35,15.2,35.6,8.2,4.5,37.8,41,3135,3330,6465,2218,2344,4562,666,678,1344,366,492,858,350,330,680,292,343,635,290,252,542,4042.743401,941146.806,0.118807541,0.294607628,0.188075406,0.149057431,0.139193336
104,4,Rexdale-Kipling (4),4,4,Rexdale-Kipling,10725,23.6,18.3,10.2,28.8,52428,19.4,45.1,7.7,37,15.3,18.8,3,8.3,47.2,41.8,4130,4470,8600,3070,3394,6464,1277,1495,2772,525,677,1202,746,750,1496,328,453,781,354,316,670,7067.058509,2505575.792,0.10365099,0.428836634,0.18595297,0.231435644,0.12082302
105,62,East End-Danforth (62),62,62,East End-Danforth,20096,22.8,10.6,16.2,38.8,55102,16.5,46.2,7.1,30.2,10.7,35.7,1.7,5.5,29.2,26.9,8106,8878,16984,6001,6583,12584,1855,2011,3866,1018,1424,2442,929,958,1887,721,974,1695,711,735,1446,7372.237096,2639018.673,0.114907819,0.307215512,0.194055944,0.14995232,0.134694851
106,18,New Toronto (18),18,18,New Toronto,10652,21.3,13.4,17.6,41.4,43440,22.7,55.7,7.4,31.8,13.6,26.4,2.6,5.7,38.1,29.6,4382,4781,9163,3202,3501,6703,1104,1322,2426,554,780,1334,574,616,1190,364,528,892,496,494,990,11321.73107,3481238.505,0.147695062,0.361927495,0.199015366,0.177532448,0.133074743
107,80,Palmerston-Little Italy (80),80,80,Palmerston-Little Italy,13777,12.8,13.3,15,18.4,50990,13.9,52.9,6.2,28.3,12.5,48.3,7.2,3.7,39.8,24.3,6187,6453,12640,3763,3748,7511,1179,1257,2436,749,891,1640,582,612,1194,428,580,1008,376,264,640,4967.45795,1435236.837,0.085208361,0.324324324,0.218346425,0.158966849,0.134203169
108,45,Parkwoods-Donalda (45),45,45,Parkwoods-Donalda,33821,25.3,13.9,8.5,21.8,56941,20.9,60.4,8.7,33.9,6.9,40.3,3.7,16.8,53.9,49.7,11441,13411,24852,8414,9972,18386,3232,3834,7066,1284,1843,3127,1709,1788,3497,793,1249,2042,848,940,1788,13452.19476,7464327.196,0.097247906,0.384314152,0.170075057,0.190199065,0.111062765
109,23,Pelmo Park-Humberlea (23),23,23,Pelmo Park-Humberlea,8729,24.5,16.8,5.7,16.1,64532,13.6,17.1,5,35.7,20.7,18.3,4.2,5,47.4,36.4,3291,3485,6776,2507,2653,5160,1074,1163,2237,431,543,974,590,567,1157,250,386,636,338,263,601,13837.0354,4276047.838,0.116472868,0.433527132,0.18875969,0.224224806,0.123255814
110,67,Playter Estates-Danforth (67),67,67,Playter Estates-Danforth,7688,18.5,12.7,19.8,40,61249,9.6,54.9,6,26.1,5.6,54.8,2.5,4.5,26.7,14.9,3218,3483,6701,2426,2552,4978,705,767,1472,384,501,885,335,349,684,247,337,584,288,228,516,4501.752243,887593.011,0.103656087,0.295701085,0.177782242,0.13740458,0.117316191
111,7,Willowridge-Martingrove-Richview (7),7,7,Willowridge-Martingrove-Richview,20907,22.5,22.1,8.4,24.8,60280,15.9,42.9,7.5,41.5,12.8,31.3,3.1,9.7,47.7,34.9,8077,9126,17203,6184,7097,13281,2657,3197,5854,915,1318,2233,1473,1478,2951,548,836,1384,751,674,1425,12059.23362,5517423.899,0.107296137,0.440780062,0.16813493,0.222197124,0.10420902
112,137,Woburn (137),137,137,Woburn,52461,26.6,13.8,7.5,23.2,49306,26.7,45.4,9.5,39.5,14.3,28.7,4.6,17.5,58.5,68.5,19832,22039,41871,14178,15605,29783,5944,6814,12758,2145,2884,5029,3865,3825,7690,1252,1842,3094,1377,1312,2689,18111.26499,12334072.7,0.090286405,0.428365175,0.168854716,0.258200987,0.103884766
113,60,Woodbine-Lumsden (60),60,60,Woodbine-Lumsden,8051,20,13.5,13.9,30.9,53499,15.4,30,5.5,33.9,16.6,24.2,4.7,4.3,34.6,30.8,3192,3471,6663,2390,2621,5011,787,877,1664,434,556,990,396,425,821,267,348,615,361,272,633,4871.174015,1196243.588,0.126322091,0.332069447,0.197565356,0.163839553,0.122729994
114,52,Bayview Village (52),52,52,Bayview Village,15376,19,15.4,10.7,20.6,70854,19.2,35,6.4,38.1,3.6,56.2,4.2,13.2,59.1,59,5128,5985,11113,3742,4487,8229,1323,1361,2684,486,607,1093,622,529,1151,302,474,776,279,320,599,9504.071991,5159044.472,0.072791348,0.326163568,0.132822943,0.139871187,0.094300644
115,39,Bedford Park-Nortown (39),39,39,Bedford Park-Nortown,21961,27.1,16.3,12.3,32.6,90635,6.4,31.4,4.2,35,3.4,58.3,0.7,3.5,26.9,12.6,7903,9931,17834,5978,7541,13519,1950,2210,4160,955,1215,2170,842,835,1677,523,846,1369,483,564,1047,12816.87909,5518148.624,0.077446557,0.307715068,0.160514831,0.124047637,0.101264886
116,111,Rockcliffe-Smythe (111),111,111,Rockcliffe-Smythe,22389,25,15.1,12.3,36.5,45514,20.4,42.1,9.4,39,29.7,14.9,6.1,6.8,54.5,47.2,8803,9476,18279,6375,7042,13417,2441,3080,5521,1320,1795,3115,1459,1568,3027,758,1101,1859,835,756,1591,11619.95364,5070764.877,0.118580905,0.411492882,0.232168145,0.225609302,0.138555564
117,41,Bridle Path-Sunnybrook-York Mills (41),41,41,Bridle Path-Sunnybrook-York Mills,8205,27.1,20.4,4.7,19.7,208312,5.1,5.5,5.9,40.1,1.6,70.9,1.1,1.8,27,20.2,3633,4042,7675,2866,3221,6087,1043,878,1921,434,449,883,453,313,766,221,312,533,284,216,500,15651.2906,8838191.943,0.08214227,0.315590603,0.14506325,0.125841958,0.08756366
118,47,Don Valley Village (47),47,47,Don Valley Village,26644,22,14.6,6.2,17.6,56118,24.2,50.2,8.8,36,5.4,50.4,5.8,26.4,70.5,65.6,10308,12011,22319,7528,8856,16384,2496,2941,5437,809,1196,2005,1403,1395,2798,604,891,1495,550,587,1137,8326.61511,4212380.585,0.069396973,0.331848145,0.122375488,0.170776367,0.091247559
119,113,Weston (113),113,113,Weston,16476,24.6,12.9,15.7,42.3,39298,30,62.2,8.8,34.9,18,18.7,3.6,9.9,47.2,51.1,6817,7771,14588,4854,5439,10293,1824,2375,4199,892,1339,2231,1074,1271,2345,614,865,1479,566,604,1170,10202.39423,2565537.828,0.113669484,0.407947149,0.216749247,0.227824735,0.143689886
120,103,Lawrence Park South (103),103,103,Lawrence Park South,14827,27.8,10.5,9.8,29.5,129322,4.2,27.3,5.1,32.4,1.7,75.2,0,2.5,19,9,5448,6369,11817,4115,4759,8874,1162,1086,2248,661,818,1479,421,372,793,327,506,833,272,302,574,9777.673104,3242276.779,0.064683345,0.253324318,0.166666667,0.089362182,0.093869732
121,30,Brookhaven-Amesbury (30),30,30,Brookhaven-Amesbury,17318,28.8,10.7,7.1,21.4,43385,31.6,56.1,7.8,36,23,15.4,6.4,12.1,57.9,62.9,6251,7209,13460,4466,5090,9556,1786,2109,3895,823,1117,1940,1058,1179,2237,495,737,1232,536,422,958,8980.446214,3507374.191,0.100251151,0.407597321,0.203013813,0.234093763,0.128924236
122,19,Long Branch (19),19,19,Long Branch,9625,20.7,11.5,16,34.1,51504,16.4,50.7,6.8,28.6,12.5,30.7,1.7,7.4,35.4,19.3,4004,4140,8144,3020,3044,6064,1017,1068,2085,464,659,1123,479,483,962,306,467,773,415,388,803,7806.777489,2261880.036,0.132420844,0.343832454,0.185191293,0.158641161,0.127473615
123,132,Malvern (132),132,132,Malvern,44324,29.8,8.3,3.6,11.1,56611,23,28.7,8.8,32.3,14.8,19.3,4.6,11.3,62.8,86.6,13605,15103,28708,9519,10706,20225,3997,4755,8752,1731,2264,3995,2867,2886,5753,815,1175,1990,774,682,1456,12081.20864,8866243.609,0.071990111,0.432731768,0.197527812,0.284449938,0.098393078
124,83,Dufferin Grove (83),83,83,Dufferin Grove,11811,17.2,11.3,13.9,22.8,42427,20.7,60,6,30.5,19.6,32.3,9.5,9,50,37.2,5257,5287,10544,3396,3317,6713,1071,1173,2244,680,755,1435,610,595,1205,385,536,921,357,276,633,5148.294816,1387988.884,0.094294652,0.334276776,0.213764338,0.179502458,0.137196484
125,29,Maple Leaf (29),29,29,Maple Leaf,10271,21.4,21.3,8.3,21.6,48937,18.2,46,6.9,40.2,18.4,21.5,7.5,10.9,54.7,36.2,3257,3574,6831,2515,2791,5306,1167,1361,2528,449,549,998,632,681,1313,284,390,674,393,310,703,6377.761128,2526426.71,0.132491519,0.476441764,0.188088956,0.247455711,0.127026008
126,12,Markland Wood (12),12,12,Markland Wood,10240,19,25.7,11.6,28.7,75699,4.5,23.5,4.9,42,6,44.6,1.5,5.4,37.3,15.4,4110,4808,8918,3308,3996,7304,1385,1715,3100,442,642,1084,641,661,1302,272,481,753,345,453,798,7846.524586,2953752.219,0.109255203,0.424424973,0.148411829,0.178258488,0.103094195
127,116,Steeles (116),116,116,Steeles,24696,19.9,15.9,3.9,11.9,57365,26.5,16.7,8.5,40.3,15.7,36.3,17.1,15.5,75.2,86.9,9759,11160,20919,7156,8440,15596,2878,3395,6273,819,988,1807,1685,1715,3400,483,770,1253,673,526,1199,8943.759657,4561345.493,0.076878687,0.402218518,0.115863042,0.218004617,0.080341113
128,105,Lawrence Park North (105),105,105,Lawrence Park North,13749,26.9,11.2,10.8,34.6,100098,5.3,25.6,4.9,28.3,1.5,67.8,0.6,1.6,19.9,11.9,5262,6290,11552,4159,4995,9154,1209,1282,2491,651,869,1520,468,449,917,296,510,806,327,319,646,6540.183148,2289800.865,0.070570243,0.272121477,0.166047629,0.100174787,0.08804894
129,100,Yonge-Eglinton (100),100,100,Yonge-Eglinton,10497,17.2,10.5,21.9,37.6,68503,10.7,59.2,5.2,26.1,2.2,66.5,0.3,3.7,23.2,15,4244,4904,9148,2950,3387,6337,825,873,1698,478,647,1125,353,347,700,269,400,669,230,257,487,5686.684791,1650438.056,0.076850245,0.267950134,0.177528799,0.110462364,0.105570459
130,17,Mimico (includes Humber Bay Shores) (17),17,17,Mimico,24973,16.2,13.4,22,40.2,55773,16.3,44.8,6.4,30.1,9.4,35.7,2.6,7.7,41.6,23.8,9669,10436,20105,7386,7867,15253,2592,2675,5267,1030,1582,2612,1309,1116,2425,772,1094,1866,911,873,1784,23377.95578,7059172.016,0.116960598,0.34530912,0.171245001,0.158985118,0.12233659
131,135,Morningside (135),135,135,Morningside,17202,27.6,12.3,6.1,15.3,54588,21.4,35.8,9.3,36.5,14.1,23.3,2.4,12.2,57,69.3,4623,5114,9737,3365,3830,7195,1577,1910,3487,543,808,1351,938,1014,1952,309,436,745,352,382,734,13214.70977,5740138.376,0.102015288,0.484642113,0.187769284,0.271299514,0.103544128
132,73,Moss Park (73),73,73,Moss Park,15481,11.4,8.2,38.7,53.5,41375,18.6,58.6,7.5,26.2,9.2,49.8,1.9,7,36.9,39.7,9551,6649,16200,6644,3976,10620,1793,1173,2966,1076,953,2029,1062,637,1699,933,642,1575,878,417,1295,6204.526344,1413051.841,0.121939736,0.279284369,0.191054614,0.159981168,0.148305085
133,84,Little Portugal (84),84,84,Little Portugal,12116,16.3,15.6,12.8,23.4,46194,22.8,51,7.2,34.8,28.9,27.7,17,6.2,50.4,26.9,5169,5367,10536,3450,3444,6894,1135,1374,2509,639,800,1439,667,719,1386,420,544,964,484,342,826,5440.951434,1216369.294,0.119814331,0.363939658,0.208732231,0.201044386,0.139831738
134,64,Woodbine Corridor (64),64,64,Woodbine Corridor,11550,21.3,10.5,17.1,41.1,58882,16,41.6,6.8,28.7,9.5,40.2,3.3,4.5,28.8,25,4816,5268,10084,3598,3916,7514,1037,1109,2146,563,828,1391,498,488,986,413,542,955,374,412,786,5428.088012,1595684.434,0.104604738,0.285600213,0.185121107,0.131221719,0.127096087
135,50,Newtonbrook East (50),50,50,Newtonbrook East,15557,17.7,18.6,8.9,21.6,60459,23.8,30.7,7.6,40.6,4.9,52.5,6.2,14.9,63,61.2,5906,6748,12654,4157,4907,9064,1447,1719,3166,443,587,1030,811,825,1636,390,547,937,400,400,800,8094.592772,4084780.92,0.088261253,0.34929391,0.113636364,0.180494263,0.103375993
136,130,Milliken (130),130,130,Milliken,26272,22.6,12.6,2.6,8,60350,24.8,13.9,9.1,37,16.4,29.6,17.2,13,73,94,11084,12497,23581,7928,9140,17068,3077,3594,6671,1016,1186,2202,1796,1858,3654,562,855,1417,657,518,1175,16781.47734,9477859.221,0.068842278,0.390848371,0.129013358,0.214084837,0.083020858
137,46,Pleasant View (46),46,46,Pleasant View,16615,20.2,15.3,5.1,15.2,61457,18.6,24.8,8.6,38.4,10.7,42.9,6.2,17.6,67,60.8,6732,7352,14084,5026,5722,10748,1826,2101,3927,644,764,1408,1048,1020,2068,436,607,1043,553,447,1000,7944.829848,2967493.125,0.093040566,0.365370301,0.131001116,0.19240789,0.09704131
138,94,Wychwood (94),94,94,Wychwood,14194,18.7,19.4,15.8,40.6,47619,16.8,53.1,7.7,32.8,13.1,41.4,7,4.3,40.3,28.6,5481,6511,11992,3924,4860,8784,1387,1904,3291,708,998,1706,735,956,1691,428,660,1088,474,563,1037,5435.021879,1682110.913,0.118055556,0.37465847,0.194216758,0.192509107,0.123861566
139,56,Leaside-Bennington (56),56,56,Leaside-Bennington,15988,27.6,13.4,12.8,39.4,94837,5.9,26.7,4.6,32.8,2.5,65.9,0.3,2.5,18.4,9.3,5902,6987,12889,4703,5654,10357,1368,1509,2877,692,977,1669,536,538,1074,350,570,920,333,384,717,14836.61858,4784766.468,0.069228541,0.277783142,0.16114705,0.103697982,0.088828811
140,108,Briar Hill-Belgravia (108),108,108,Briar Hill-Belgravia,14198,21,13.6,11.7,24.4,47973,19.1,50.7,5.6,34,15.1,30,5.5,13.6,62,40.9,5506,6680,12186,3916,4912,8828,1445,1935,3380,609,838,1447,834,926,1760,409,645,1054,457,451,908,6289.707274,1830325.228,0.102854554,0.382872678,0.163910285,0.199365655,0.119392841
